services,language_code,english,indigenous_language,pronunciation
2,1155,G'day,Iyurrah ,Eye-you-rah
2,287,G'day,Boongonna moogonoo ,Boon-on-nah moo-go-noo
2,498,G'day,Budabai duru ,Bood-ah-bye doo-roo
2,193,G'day,Weeimba gilee ,Wee-im-bar Gear-lee
2,290,G'day,Budjeri gari ,Budge-ah-ree gah-ree
2,290,G'day,Yandanji ,Yan-dan-gee
2,1089,G'day,Mullee weeyee ,Mull-lee wee-yee
2,263,G'day,Galangoor D'Buthbee ,Gull-a-ngoor dee-buth-bee
2,279,G'day,Gudamulli ,Good-a-ma-lee
2,969,G'day,Djirri nyurra ,Ji-rii new-ra
2,987,G'day,Nginda nyangum ,Ngin-da nya-ngum
2,187,G'day,Winba duru ,Win-bar doo-roo
2,182,G'day,Gaba yaadha ,Gar-ba Yah-da
2,182,G'day,Yaama ,Yah-ma
2,182,G'day,Yaamagara ,Yah-ma-ga-ra
2,273,G'day,Binbee karri ,Bin-bi car-ree
2,299,G'day,Binbee kurri,Bin-bi curry
2,270,G'day,Binbee karri-yamba ,Bin-bi carry-yum-ba
2,277,G'day,Binbee karri ,Bin-bee car-ree
2,243,G'day,Bugal numgirr ,Boog-al numb-gear
2,265,G'day,Balka wittaberri ,Bal-car wit-a-berry
2,258,G'day,Kooemba boodloonggun ,Koo-em-ba bood-loong-oon
2,261,G'day,Ngara ,Nah-ra
2,261,G'day,Wunya ngulum ,Wun-yah noo-lum
2,1056,G'day,Mita dju ,Mit-a ju
2,295,G'day,Nooda kurra ,Noo-da kar-ra
2,196,G'day,Migany duru ,Mee-gun doo-roo
2,196,G'day,Yowallah ,Yow-a-la
2,196,G'day,Nganha yinda murdi ,Ngoo-nha yin-da moorr-di
2,203,G'day,Mudga dhurdi ,Mud-ga door-di
2,1168,G'day,Wantharra Nyundu? ,One-tharr-a (roll r) a Nyoon(short)-doo
2,1168,G'day,Ga-dii Wawu-wi ,Ga-dee wa-oo-wi
2,192,G'day,Murga dhurdiu ,Moor-ga door-di
2,250,G'day,Maroomba Biggee ,Ma-rroom-ba big-i
2,318,G'day,Gamba daru ,Gum-ba da-roo
2,1127,G'day,Meenee cumballagoo ,Mi-ni cum-ba-la-goo
2,1064,G'day,Ngi midh ,Ngi midh
2,1064,G'day,Sew ngapa ,Seh-ooh nga-pah
2,1064,G'day,Kapu Goiga ,Car-Poo Gur-gah
2,189,G'day,Dhali mura ,Da-li mah-ra
2,342,G'day,Kammanuroo kaamp ,Kah-man-a-roo camp
2,359,G'day,Manja mandja ,Mun-ya mun-ja
2,1163,G'day,Ngulkurr warngku ,Nool-kore warn-koo
2,1154,G'day,Wooy ,Woy
2,1154,G'day,Min yoor ,Min Yaw
2,204,G'day,Galang genan ,Gull-ung gen-un
2,1112,G'day,Maiem ,Ma-i-yem
2,345,G'day,Yathi winja ,Yah-thee win-ya
2,206,G'day,Migunguri toonee ,Mi-gun-oo-ri too-ni
2,388,G'day,Myalli walka ,My-al-lee wal-kah
2,323,G'day,Galang nguruindhau ,Ga-lung ngoo-rroo-win-dha-woo
2,260,G'day,Yhurri gurri ,You-ree Goo-ree
2,260,G'day,Galang ngunar ,Gull-ung noo-nah
2,260,G'day,Galangul allara ,Gull-ung-ull al-a-ra
2,477,G'day,Tharli mura ,Tha-li mah-ra
2,1141,G'day,Niiyalang ,Nee-ya-lung
2,291,G'day,Bunyiba garibiri ,Bun-yi-ba gar-i-beer-i
2,326,G'day,Gamba dunba ,Gum-ba doon-ba
2,470,G'day,Patji dritji ,Pat-ji drit-ji
2,286,G'day,Marbil kai ,Mah-bill kye
2,289,G'day,Thurril adjila ,Tha-rill add-jill-a
2,497,G'day,Dharili kumba ,Dah-ri-li koom-ba
2,248,G'day,Baugull nyungai ,Ba-oo-gool nyoong-a-i
2,248,G'day,Jingerri ,Jing-ga-rri
2,248,G'day,Jingiwalli wahlu ,Jing-gi-wali wa-loo
2,301,G'day,Gurumba bigi ,Goo-roo-mba big-i
2,255,G'day,Gurumba bigi ,Goo-roo-mba big-i
2,1191,G'day,Gaba yaadha ,Gar-ba Yah-da
2,1064,Anchor,Iadi,
2,1064,Axe,Aga,
2,1064,Book,Thusi,
2,1064,Child,Kazi,
2,1064,Church,Yoewth,
2,1064,Cloud,Zia,
2,1064,Coconut Tree,Boey,
2,1064,Crocodile,Koedal,
2,1064,Drum,Warup,
2,1064,Dugong,Dhangal,
2,1064,Ear,Kaura,
2,1064,Eye,Purka,
2,1064,Father,Thathi,
2,1064,Fire,Mui,
2,1064,Fish,Wapi,
2,1064,Fish Hook,Tudi,
2,1064,Foot,San,
2,1064,Frog,Katube,
2,1064,Girl,Ngawaka,
2,1064,Ground,Apa,
2,1064,Hand,Geth,
2,1064,Head,Kuik,
2,1064,House,Mudth,
2,1064,Island,Lagua or Lag,
2,1064,Kangaroo,Usar,
2,1064,Knee,Kulu,
2,1064,Lizard,Iku,
2,1064,Mat,Waku,
2,1064,Moon,Kisal,
2,1064,Mother,Apu,
2,1064,No,Launga,
2,1064,Octopus,Sugu,
2,1064,One,Urapun,
2,1064,People,Garkazi,
2,1064,Rain,Ari,
2,1064,Sea,Malu,
2,1064,Shark,Baidham,
2,1064,Sky,Dapar,
2,1064,Snake,Tabu,
2,1064,Spear,Dagul,
2,1064,Spider,Enti,
2,1064,Stingray,Thupmul,
2,1064,Stone,Kula,
2,1064,Sun,Goega,
2,1064,Today,Kaib,
2,1064,Tomorrow,Batainga,
2,1064,Turtle,Waru,
2,1064,Two,Ukasar,
2,1064,Water,Nguki,
2,1064,Wind,Gub,
2,1064,Yam,Gabau,
2,1064,Yes,Wa,
2,1112,Anchor,Par,
2,1112,Axe,Tulik,
2,1112,Book,Ziau-wali,
2,1112,Child,Werem,
2,1112,Church,Zogometa,
2,1112,Cloud,Baz,
2,1112,Coconut Tree,U,
2,1112,Crocodile,Kodal,
2,1112,Drum,Warup,
2,1112,Dugong,Deger,
2,1112,Ear,Laip,
